game_id,time,human_id,ai_id,condition,difficulty,confidence,comments,game,round,human_action,human_rt,ai_action,ai_rt,winner
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,1,rock,3234,scissors,2962.912985,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,2,scissors,4464,paper,2934.050692,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,3,scissors,2397,rock,2334.819664,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,4,rock,3023,scissors,1782.901646,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,5,rock,2674,paper,1192.436049,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,6,rock,2422,rock,2534.44579,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,7,paper,2264,scissors,2417.05852,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,8,scissors,1815,paper,2902.296929,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,9,scissors,1189,rock,2451.483473,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,10,rock,2646,scissors,987.3136356,human
